product_A,product_B,co_purchase_count,support,product_A_name,product_B_name
P000587,P000779,3,0.0006325110689437065,阿迪达斯服装鞋包商品123,完美日记美妆护肤商品559
P001516,P001864,3,0.0006325110689437065,探路者运动户外商品936,西门子家用电器商品194
P000991,P001045,2,0.000421674045962471,帮宝适母婴用品商品195,麦富迪宠物用品商品549
P000072,P001088,2,0.000421674045962471,潘多拉礼品鲜花商品696,华为手机数码商品660
P000483,P000563,2,0.000421674045962471,野兽派礼品鲜花商品989,潮宏基珠宝首饰商品523
P000144,P001443,2,0.000421674045962471,良品铺子食品生鲜商品528,新秀丽箱包配饰商品831
P000648,P001508,2,0.000421674045962471,五粮液食品生鲜商品184,固特异汽车用品商品943
P000211,P001229,2,0.000421674045962471,诺誓礼品鲜花商品949,曲美家居家装商品529
P000127,P000498,2,0.000421674045962471,帮宝适母婴用品商品588,三星手机数码商品800
P001207,P002000,2,0.000421674045962471,京东图书图书音像商品505,福临门食品生鲜商品195
P001402,P001793,2,0.000421674045962471,珀莱雅美妆护肤商品932,潘多拉礼品鲜花商品679
P000291,P000481,2,0.000421674045962471,小佩宠物用品商品274,瑞士军威箱包配饰商品304
P000402,P001472,2,0.000421674045962471,雅诗兰黛美妆护肤商品605,欧莱雅美妆护肤商品387
P001218,P001908,2,0.000421674045962471,伊利食品生鲜商品295,戴森家用电器商品684
P000519,P000745,2,0.000421674045962471,美赞臣母婴用品商品860,九芝堂医药保健商品323
P000796,P001796,2,0.000421674045962471,九芝堂医药保健商品922,vivo手机数码商品949
P000944,P001698,2,0.000421674045962471,优衣库服装鞋包商品835,外交官箱包配饰商品687
P000642,P001711,2,0.000421674045962471,安踏运动户外商品580,苹果手机数码商品242
P001659,P001863,2,0.000421674045962471,潮宏基珠宝首饰商品963,曲美家居家装商品451
P000714,P000764,2,0.000421674045962471,善存医药保健商品311,百草味食品生鲜商品211
